code,year,ret
600519.SH,2021,0.026026026026026106
600519.SH,2022,-0.15756097560975613
600519.SH,2023,-0.0005790387955992848
600519.SH,2024,-0.11703360370799532
600519.SH,2025,-0.09633858267716533
