,600519.SH,000858.SZ,601318.SH,600036.SH,000333.SZ,002594.SZ,600900.SH,601012.SH,000001.SZ,600276.SH,603259.SH,300750.SZ,600030.SH,000651.SZ,601888.SH
202412,-0.06595034685202361,-0.1996283103608486,0.37849017580144784,0.1360544217687074,0.10217681030653059,0.05208558461205959,-0.05143064107207529,0.15849777211966898,0.028864059590316682,0.3048351648351648,0.719969100038625,0.4304786195353285,-0.0063852429939694755,-0.05402797877472265,0.4420778424762488
202512,0.01765543004536152,-0.009094427244581982,-0.024756189047261845,-0.06012974051896203,-0.007523847910788639,-0.07015201314708297,-0.03169148529973276,-0.01758241758241763,-0.052488687782805465,-0.023749368367862456,0.05120143723332582,-0.04808469146120631,-0.02249196715458779,-0.013258541560428272,-0.05514823079375197
202601,0.039345074218124054,-0.009275532122632324,-0.05630769230769228,0.00212370586673738,0.014214160010829868,-0.017342317463824197,-0.004337539432176629,0.024608501118568382,0.006685768863419206,-0.027605244996549372,0.030014954069643274,-0.023383768913342484,-0.015339663988312546,-0.03229974160206717,-0.09885290148448045
202602,-0.0035178696566222634,-0.007687001084064282,-0.10286925334202812,0.015099337748344377,-0.030565936999466192,0.17906924460431672,0.03960396039603964,-0.042576419213973815,0.01707779886148031,-0.023775727466288088,0.00093331950637765,0.1788732394366197,-0.12351632047477756,0.009879839786381739,-0.12729314863347052
202603,-0.04585859154137195,-0.0614758168636409,0.04706523714337618,-0.027400835073068786,0.06539997246316953,-0.021641719897035006,0.010666666666666602,-0.06157354618015953,0.03824626865671643,-0.02435478007997094,0.1186282635723166,0.10475609446096756,0.13457469318662718,0.058963511369645616,-0.06806806806806809
202604,-0.04333085194985142,-0.128994708994709,-0.10187434918431093,-0.0069761202039174686,-0.0032308089945722873,-0.06626388618203094,0.01620806633999239,-0.15613608748481167,-0.05031446540880502,-0.0650149031296573,-0.0589978697786423,-0.027611596870685706,-0.04364043267437512,-0.021972534332084792,-0.09268068129507445
202605,-0.08666543398203364,-0.13230470173733444,-0.07748792270531402,-0.0678195082410159,-0.020744198107091827,-0.17198914631600903,-0.04747774480712175,-0.05543556515478776,-0.04919583727530741,0.0368599322574219,0.22549212598425217,-0.07333175579744444,0.1205148205928237,-0.042634669389839175,-0.09927278877050572
202606,0.13927574251997066,0.09213105572668723,0.1499790532048595,0.1484057971014492,0.15980405137031628,0.20708343836652365,0.13278816199376942,-0.009908536585365724,0.1572139303482587,0.039200614911606424,0.031483414986748004,0.005847654554275827,-0.010442046641141678,0.1279999999999999,0.08918512955313562
202607,-0.03401451206871009,-0.07923076923076933,0.024954462659380727,0.007067137809187329,-0.011529680365296668,-0.03748564268560084,-0.027500859401856315,-0.05388760585065444,0.008598452278589797,-0.1359097633136095,0.23740559059409772,-0.03442498095963442,-0.023214913823425998,-0.015602836879432536,-0.08636441992759869
202608,,,,,,,,,,,,,,,
