factor,meanIC,IC_std,IR,n_obs,verdict
roe,,,,0,⚠️样本不足
ep,,,,0,⚠️样本不足
dy,,,,0,⚠️样本不足
fcf,,,,0,⚠️样本不足
sue,,,,0,⚠️样本不足
